name,review_count,rating,latitude,longitude,categories,source
St John the Evangelist Church,8,5,39.95127663,-75.16154163,Faith;faith,yelp
St. Peter's Church,1,5,39.9435692,-75.1476898,Faith;faith,yelp
Surrogate's Court,1,5,39.9447289,-75.119278,Public Safety;publicsafety,yelp
Criminal Justice Center,16,3,39.953674,-75.161667,Public Safety;publicsafety,yelp
Philadelphia Traffic Court,4,2.5,39.960762,-75.152184,Public Safety;publicsafety,yelp
Camden County Superior Court,1,3,39.94348838,-75.12181717,Public Safety;publicsafety,yelp
PennDOT,2,5,39.9144096,-75.1537323,Mobility;mobility,yelp
PennDOT Driver License Center,37,2.5,39.9533424,-75.1532822,Mobility;mobility,yelp
Philadelphia Dot,4,3.5,40.0632095,-75.1522293,Mobility;mobility,yelp
"DMV-Camden, New Jersey",2,3.5,39.9129715,-75.0975494,Mobility;mobility,yelp
Drivers License Center,1,3,39.9533187,-75.1532922,Mobility;mobility,yelp
West Deptford Motor Vehicle Commission,9,4,39.8396988,-75.200531,Mobility;mobility,yelp
West Deptford Dmv,1,5,39.82145704,-75.14124803,Mobility;mobility,yelp
NJ Motor Vehicle,5,2,39.85712545,-75.06359562,Mobility;mobility,yelp
Folsom Fire House,1,4,39.8963814,-75.3190384,Public Safety;publicsafety,yelp
GALAEI,2,4.5,39.950733,-75.1605,Health & Wellness;healthwellness,yelp
Carpenters' Hall,12,4,39.9480501,-75.14695778,Landmarks & Historical Buildings;landmarks,yelp
The Navy Yard,14,4.5,39.8934135,-75.1761093,Landmarks & Historical Buildings;landmarks,yelp
The Irish Memorial Monument,8,4.5,39.94821019,-75.14246978,Landmarks & Historical Buildings;landmarks,yelp
Fairmount Water Works,7,4.5,39.96786118,-75.1837616,Landmarks & Historical Buildings;landmarks,yelp
Municipal Services Building,12,3.5,39.95383279,-75.16417623,Landmarks & Historical Buildings;landmarks,yelp
The Wanamaker Eagle,3,5,39.95144459,-75.16215647,Landmarks & Historical Buildings;landmarks,yelp
Market Street Gold,5,4,39.951213,-75.156494,Landmarks & Historical Buildings;landmarks,yelp
Independence Hall,99,4.5,39.948967,-75.1498871,Landmarks & Historical Buildings;landmarks,yelp
Eastern State Penitentiary Historic Site,360,4.5,39.96735408,-75.17272954,Landmarks & Historical Buildings;landmarks,yelp
Independence National Historical Park,127,4.5,39.9477386,-75.1460571,Landmarks & Historical Buildings;landmarks,yelp
Liberty Bell Center,256,4,39.95093777,-75.15006781,Landmarks & Historical Buildings;landmarks,yelp
The United States Mint,41,3.5,39.9534111,-75.1474075,Landmarks & Historical Buildings;landmarks,yelp
The Betsy Ross House,48,3.5,39.952282,-75.144615,Landmarks & Historical Buildings;landmarks,yelp
Liberty Bell,21,4,39.9473338,-75.15358756,Landmarks & Historical Buildings;landmarks,yelp
Rittenhouse Square,1,5,39.95286232,-75.17102122,Landmarks & Historical Buildings;landmarks,yelp
Philadelphia Fire Dept. Engine 20,2,4,39.954582,-75.155815,Public Safety;publicsafety,yelp
